video_id,title,channel_name,published_date,views,likes,comment_count,video_url,Atomberg,Havells,Crompton,Orient
SwRKYEhK8dI,Best BLDC Ceiling Fan In 2025⚡Top 3 BLDC Fan 2025 in India Atomberg Renesa Enzel BLDC Fan,Gadgets Munch,2025-04-10T08:51:16Z,388692,2083,91,https://youtube.com/watch?v=SwRKYEhK8dI,True,False,False,False
eUqNCj2T55I,Atomberg renesa smart plus 1200 mm ceiling fan pearl white unboxing #atomberg #atombergfan #renesa,Gtfuturetechnology,2024-09-15T08:00:02Z,482813,2482,35,https://youtube.com/watch?v=eUqNCj2T55I,True,False,False,False
bRW2z6D96OU,Atomberg BLDC Ceiling Fan 💸 This Fan Saves ₹1500/year!  Atomberg Renesa Halo #Shorts,Lovepreet Singh,2025-05-11T08:30:15Z,305283,2484,19,https://youtube.com/watch?v=bRW2z6D96OU,True,False,False,False
3tfd_RVWtFE,8 Blades BLDC Fan | Kühl Platin D8 Review 😊,Sumit Jaiswal - PRONIX,2023-06-08T14:27:12Z,572269,5213,67,https://youtube.com/watch?v=3tfd_RVWtFE,False,False,False,False
wOvKxWUW-yc,Best BLDC Fan Under ₹2500 😳 Best BLDC Ceiling Fan in 2025 India 🔥Best Ceiling Fan ✅,iGadz Unique,2025-02-24T13:50:18Z,500883,7569,152,https://youtube.com/watch?v=wOvKxWUW-yc,False,False,False,False
062-tfptAcM,Are Bladeless Fans a Scam?,Action Lab Shorts,2024-10-23T17:39:03Z,15488246,689367,10549,https://youtube.com/watch?v=062-tfptAcM,False,False,False,False
QAYhWY270MM,Watch Before you Buy A New Best BLDC Fan in 2024,SumitYPF,2024-01-25T08:40:08Z,138372,1282,15,https://youtube.com/watch?v=QAYhWY270MM,True,True,True,True
ldDzS6n3N_c,"Crompton Energion Hyperjet BLDC Ceiling Fan @ ₹2,099",Shopping gallery ,2025-01-22T15:23:30Z,29173,108,4,https://youtube.com/watch?v=ldDzS6n3N_c,False,False,True,False
j0DWp1LfS1Y,Ceiling fan sale | #flyxo #appliances #electronics,Himachal Distributors Pvt Ltd ,2025-08-30T07:33:49Z,3083,14,0,https://youtube.com/watch?v=j0DWp1LfS1Y,False,True,True,True
NOOnVYNBa6g,This Fan Saves More Energy ⚡ | Superfan Super X1 #Shorts #EnergySaver,Superfan Ceiling Fan,2025-07-08T09:18:29Z,5068,40,0,https://youtube.com/watch?v=NOOnVYNBa6g,False,False,False,False
NDKD-B_i3mg,Best Ceiling Fans 2025 | BLDC Fans,The Grapevine,2025-03-15T05:30:08Z,189282,1955,167,https://youtube.com/watch?v=NDKD-B_i3mg,True,True,True,True
zoJRIKAvfeI,Top 5 Ceiling Fan in India 2025 🔥 Best Ceiling Fan Under 1500 🔥 Budget Fans 🔥 Mr Known,MR KNOWN,2025-02-12T15:00:01Z,185020,1407,59,https://youtube.com/watch?v=zoJRIKAvfeI,True,True,True,True
rX7lkKdowbU,🌀 Best BLDC Ceiling Fan in India 2024 | Atomberg vs Havells vs Crompton vs Orient - Top Picks!,Brand Investigation,2024-02-28T14:30:19Z,279818,2463,111,https://youtube.com/watch?v=rX7lkKdowbU,True,True,True,True
ljEOQMuFYw0,Air Circulators vs Traditional Fans [WHICH One is BETTER?],Home Caprice,2023-05-29T11:36:24Z,138551,832,75,https://youtube.com/watch?v=ljEOQMuFYw0,False,False,False,False
cjIOnluLXAk,Crompton SUREBREEZE SEA SAPPHIRA 1200 mm Ceiling Fan for Home | BEE Star Rated Energy Efficient Fan,Wenodh,2025-01-21T04:30:17Z,13382,115,5,https://youtube.com/watch?v=cjIOnluLXAk,False,False,True,False
bEfDyygmKDQ,The 5 Best Energy Efficient Fans of 2021,The Right Choice,2021-09-09T17:43:03Z,1163,9,0,https://youtube.com/watch?v=bEfDyygmKDQ,False,False,False,False
ioI5h7zkt0E,Best Fan? Let’s Find Out!,Project Farm,2024-07-28T16:50:01Z,535386,28681,6129,https://youtube.com/watch?v=ioI5h7zkt0E,False,False,False,False
3bAIMjTOfkg,Save $100 with this energy-efficient fan for better air circulation! #review,Marlin Miller,2025-04-08T10:12:54Z,1437,8,0,https://youtube.com/watch?v=3bAIMjTOfkg,False,False,False,False
-08vdekFjAY,Best Smart Cooling Fan for Home 2025 🔥| Portable & Energy Efficient Fan for Summer,E.duspark,2025-04-11T11:54:01Z,58,1,1,https://youtube.com/watch?v=-08vdekFjAY,False,False,False,False
